event_date,event_datetime_start,event_datetime_end,event_timezone,event_name,event_location_name,event_address,event_city,event_state,event_postal_code,event_country,event_latitude,event_longitude,event_info,event_type,univ_id
2016-08-10,2016-08-10 12:00:00,,,Genesys Works Chicago,Genesys Works Chicago,180 N Wabash Ave Ste 600,Chicago,IL,60601-3614,US,,,,,145637_req
2016-08-11,2016-08-11 09:00:00,,,John Hancock - High School Visit,John Hancock High Sch,4034 W 56th St,Chicago,IL,60629-4442,US,,,,,145637_req
2016-08-23,2016-08-23 18:00:00,,,Multicultural Academic Achievement Reception - Leona's,Leona's,11060 S Western Ave,Chicago,IL,60643-3928,US,,,,,145637_req
2016-08-24,2016-08-24 18:00:00,,,Reavis HS - College Fair,Reavis High Sch,6034 W 77th St,Burbank,IL,60459-3112,US,,,,,145637_req
2016-08-25,2016-08-25 18:00:00,,,Multicultural Academic Achievement Reception - Lou Malnati's,Lou Malnati's Pizzeria,6649 N Lincoln Ave,Lincolnwood,IL,60712-3605,US,,,,,145637_req
2016-08-26,2016-08-26 08:45:00,,,North Atlanta High School College Fair,North Atlanta High Sch,4111 Northside Pkwy NW,Atlanta,GA,30327-3015,US,,,,,145637_req
2016-08-27,2016-08-27 11:00:00,,,"Multicultural Academic Achievement Reception (Blingual, English/Spanish Program) - La Casa Resource Center *Programa Bilingue: Español e Ingles*",La Casa Resource Center,1815 S Paulina St,Chicago,IL,60608,US,,,,,145637_req
2016-08-27,2016-08-27 12:00:00,,,KIPP-Lovettt-Westminster College Day,Cobb Galleria,2 Galleria Pkwy SE,Atlanta,GA,30339-5938,US,,,,,145637_req
2016-08-28,2016-08-28 11:30:00,,,Woodward Academy College Fair,Woodward Academy,1586 Walker Ave,College Park,GA,30337,US,,,,,145637_req
2016-08-30,2016-08-30 08:55:00,,,Hinsdale Central High School Visit,Hinsdale Township HS Central,5500 S Grant St,Hinsdale,IL,60521-4578,US,,,,,145637_req
2016-08-30,2016-08-30 09:25:00,,,West Leyden High Sch - High School Visit,West Leyden High Sch,1000 N Wolf Rd,Northlake,IL,60164-1438,US,,,,,145637_req
2016-08-30,2016-08-30 10:15:00,,,Hinsdale South High School Visit,Hinsdale South High Sch,7401 Clarendon Hills Rd,Darien,IL,60561-4288,US,,,,,145637_req
2016-08-30,2016-08-30 12:00:00,,,Noble St-Muchin College Prep - High School Visit,Noble St-Muchin College Prep,1 N State St,Chicago,IL,60602-3302,US,,,,,145637_req
2016-08-30,2016-08-30 18:00:00,,,Multicultural Academic Achievement Reception - Giordano's,Giordano's Pizzeria,14325 S La Grange Rd,Orland Park,IL,60462-2788,US,,,,,145637_req
2016-08-31,2016-08-31 11:10:00,,,Adlai Stevenson High School Visit,Adlai E Stevenson High Sch,1 Stevenson Dr,Lincolnshire,IL,60069-2824,US,,,,,145637_req
2016-08-31,2016-08-31 18:00:00,,,Multicultural Academic Achievement Reception - Connie's,Connie's,2373 S Archer Ave,Chicago,IL,60616-1857,US,,,,,145637_req
2016-09-01,2016-09-01 09:36:00,,,Amos Alonzo Stagg High School Visit,Amos Alonzo Stagg High Sch,8015 W 111th St,Palos Hills,IL,60465-2203,US,,,,,145637_req
2016-09-01,2016-09-01 18:00:00,,,Multicultural Academic Achievement Reception - Paisan's,Paisan's,6226 Ogden Ave,Berwyn,IL,60402-3825,US,,,,,145637_req
2016-09-02,2016-09-02 10:05:00,,,J B Conant High School Visit,J B Conant High Sch,700 E Cougar Trl,Hoffman Est,IL,60169-3659,US,,,,,145637_req
2016-09-02,2016-09-02 12:03:00,,,Palatine High School Visit,Palatine High Sch,1111 N Rohlwing Rd,Palatine,IL,60074-3777,US,,,,,145637_req
2016-09-06,2016-09-06 08:00:00,,,Oakwood High School Visit,Oakwood High Sch,5870 US Route 150,Fithian,IL,61844-5195,US,,,,,145637_req
2016-09-06,2016-09-06 08:55:00,,,Downer's Grove South High School Visit,Comm HS Dist 99 South Hs,1436 Norfolk St,Downers Grove,IL,60516-2632,US,,,,,145637_req
2016-09-06,2016-09-06 09:00:00,,,Marion High School Visit,Marion High Sch,1700 Wildcat Dr,Marion,IL,62959-1506,US,,,,,145637_req
2016-09-06,2016-09-06 09:15:00,,,Marian Catholic High Sch - High School Visit,Marian Catholic High Sch,700 Ashland Ave,Chicago Hts,IL,60411-2073,US,,,,,145637_req
2016-09-06,2016-09-06 09:30:00,,,Danville High School Visit,Danville High Sch,202 E Fairchild St,Danville,IL,61832-3114,US,,,,,145637_req
2016-09-06,2016-09-06 10:30:00,,,Westville High School Visit,Westville High Sch,918 N State St,Westville,IL,61883-1218,US,,,,,145637_req
2016-09-06,2016-09-06 10:50:00,,,Downer's Grove North High School Visit,Comm HS Dist 99 North Hs,4436 Main St,Downers Grove,IL,60515-2867,US,,,,,145637_req
2016-09-06,2016-09-06 11:30:00,,,Carmi-White County High School Visit,Carmi-White County High Sch,800 W Main St,Carmi,IL,62821-1350,US,,,,,145637_req
2016-09-06,2016-09-06 11:45:00,,,Hoopeston Area High School,Hoopeston Area High Sch,615 E Orange St,Hoopeston,IL,60942-1855,US,,,,,145637_req
2016-09-06,2016-09-06 11:50:00,,,Noble St-Baker College Prep - High School Visit,Noble St-Baker College Prep,2710 E 89th St,Chicago,IL,60617-3192,US,,,,,145637_req
2016-09-06,2016-09-06 13:00:00,,,Hamilton County Senior High School Visit,Hamilton County Senior HS,1 Fox Ln,Mc Leansboro,IL,62859-1149,US,,,,,145637_req
2016-09-06,2016-09-06 14:00:00,,,Hoffman Estates High School Visit,Hoffman Estates High Sch,1100 W Higgins Rd,Hoffman Est,IL,60169-4050,US,,,,,145637_req
2016-09-06,2016-09-06 14:30:00,,,Bismarck-Henning High School Visit,Bismarck-Henning High Sch,17268 E 2750 North Rd,Bismarck,IL,61814-5130,US,,,,,145637_req
2016-09-07,2016-09-07 09:06:00,,,Urbana High School - High School Visit,Urbana High Sch,1002 S Race St,Urbana,IL,61801-4957,US,,,,,145637_req
2016-09-07,2016-09-07 09:45:00,,,Sacred Heart Griffin Vist,Sacred Heart Griffin Hs,1200 W Washington St,Springfield,IL,62702-4770,US,,,,,145637_req
2016-09-07,2016-09-07 10:03:00,,,Lincoln Way East High School Visit,Lincoln-Way East High Sch,201 Colorado Ave,Frankfort,IL,60423-1333,US,,,,,145637_req
2016-09-07,2016-09-07 10:45:00,,,Glenwood High School Visit,Glenwood High Sch,1501E E Plummer Blvd,Chatham,IL,62629,US,,,,,145637_req
2016-09-07,2016-09-07 10:45:00,,,St Ignatius College Prep - High School visit,St Ignatius College Prep,1076 W Roosevelt Rd,Chicago,IL,60608-1531,US,,,,,145637_req
2016-09-07,2016-09-07 11:00:00,,,Johnston City High School Visit,Johnston City High Sch,1500 Jefferson Ave,Johnston City,IL,62951-1501,US,,,,,145637_req
2016-09-07,2016-09-07 11:55:00,,,Lincoln Way West High School Visit,Lincoln-Way West High School,21701 Gougar Rd,New Lenox,IL,60451-1576,US,,,,,145637_req
2016-09-07,2016-09-07 12:05:00,,,Springfield High School Visit,Springfield High Sch,101 S Lewis St,Springfield,IL,62704-1817,US,,,,,145637_req
2016-09-07,2016-09-07 13:58:00,,,Herrin High School Visit,Herrin High Sch,700 N 10th St,Herrin,IL,62948-3338,US,,,,,145637_req
2016-09-07,2016-09-07 14:02:00,,,Lincoln Way Central High School Visit,Lincoln-Way Central HS,1801 E Lincoln Hwy,New Lenox,IL,60451-3801,US,,,,,145637_req
2016-09-07,2016-09-07 15:00:00,,,Carterville High School Visit,Carterville High Sch,1415 W Grand Ave,Carterville,IL,62918-2303,US,,,,,145637_req
2016-09-07,2016-09-07 15:45:00,,,Rochelle Zell  Jewish High Sch - High School Visit,Rochelle Zell  Jewish High Sch,1095 Lake Cook Rd,Deerfield,IL,60015-5221,US,,,,,145637_req
2016-09-08,2016-09-08 08:00:00,,,Belvidere North High School Visit,Belvidere North High School,9393 Beloit Rd,Belvidere,IL,61008-9735,US,,,,,145637_req
2016-09-08,2016-09-08 09:00:00,,,Francis Parker -  High School Visit,Francis W Parker Sch,330 W Webster Ave,Chicago,IL,60614-3820,US,,,,,145637_req
2016-09-08,2016-09-08 09:11:00,,,Barrington High School Visit,Barrington Comm Hs,616 W Main St,Barrington,IL,60010-3015,US,,,,,145637_req
2016-09-08,2016-09-08 09:45:00,,,Cissna Park High School Visit,Cissna Park High Sch,511 N 2nd St,Cissna Park,IL,60924-9734,US,,,,,145637_req
2016-09-08,2016-09-08 10:00:00,,,North Boone High School,North Boone High Sch,17641 Poplar Grove Rd,Poplar Grove,IL,61065-9014,US,,,,,145637_req
2016-09-08,2016-09-08 10:15:00,,,Teutopolis High School Visit,Teutopolis High Sch,801 W Main St,Teutopolis,IL,62467-1271,US,,,,,145637_req
2016-09-08,2016-09-08 11:11:00,,,Lake Zurich High School Visit,Lake Zurich Senior High Sch,300 Church St,Lake Zurich,IL,60047-1553,US,,,,,145637_req
2016-09-08,2016-09-08 11:30:00,,,St. Anthony High School Visit,St Anthony High Sch,304 E Roadway Ave,Effingham,IL,62401-3208,US,,,,,145637_req
2016-09-08,2016-09-08 11:30:00,,,Williamsville High School Visit,Williamsville High Sch,900 S Walnut St,Williamsville,IL,62693-9712,US,,,,,145637_req
2016-09-08,2016-09-08 11:40:00,,,Hononegah Community,Hononegah Comm High Sch,307 Salem St,Rockton,IL,61072-2630,US,,,,,145637_req
2016-09-08,2016-09-08 12:21:00,,,Victor J. Andrew High School Visit,Victor J Andrew High Sch,9001 171st St,Orland Hills,IL,60487-6185,US,,,,,145637_req
2016-09-08,2016-09-08 12:37:00,,,Paxton Buckley Loda High School Visit,Paxton Buckley Loda Hs,341 E Center St,Paxton,IL,60957-1345,US,,,,,145637_req
2016-09-08,2016-09-08 12:40:00,,,Effingham High School Visit,Effingham High Sch,600 S Henrietta St,Effingham,IL,62401-1951,US,,,,,145637_req
2016-09-08,2016-09-08 13:54:00,,,Niles West High School Visit,Niles Township West Hs,5701 Oakton St,Skokie,IL,60077-2630,US,,,,,145637_req
2016-09-08,2016-09-08 14:10:00,,,Belvidere High School Visit,Belvidere High Sch,1500 East Ave,Belvidere,IL,61008-4563,US,,,,,145637_req
2016-09-08,2016-09-08 14:12:00,,,Gibson City High School Visit,Gibson City/Melvin-Sibley Hs,815 N Church St,Gibson City,IL,60936-1074,US,,,,,145637_req
2016-09-08,2016-09-08 14:30:00,,,Altamont High School Visit,Altamont High School,7 S Ewing St,Altamont,IL,62411-1265,US,,,,,145637_req
2016-09-08,2016-09-08 14:30:00,,,Southeast High School Visit,Springfield Southeast Hs,2350 E Ash St,Springfield,IL,62703-3371,US,,,,,145637_req
2016-09-08,2016-09-08 18:00:00,,,FUHSD College Fair,Cupertino High Sch,10100 Finch Ave,Cupertino,CA,95014-3411,US,,,,,145637_req
2016-09-09,2016-09-09 08:00:00,,,Stillman Valley High School Visit,Stillman Valley High Sch,425 S Pine St,Stillman Vly,IL,61084-8943,US,,,,,145637_req
2016-09-09,2016-09-09 09:18:00,,,Neuqua Valley High School Visit,Neuqua Valley High Sch,2360 95th St,Naperville,IL,60564-8934,US,,,,,145637_req
2016-09-09,2016-09-09 09:30:00,,,Legal Prep Charter Academy - High School Visit,Legal Prep Charter Academy,4319 W Washington Blvd,Chicago,IL,60624-2232,US,,,,,145637_req
2016-09-09,2016-09-09 09:42:00,,,Glenbrook South High School Visit,Glenbrook South High Sch,4000 W Lake Ave,Glenview,IL,60026-1239,US,,,,,145637_req
2016-09-09,2016-09-09 11:00:00,,,Glenbrook North High School Visit,Glenbrook North High Sch,2300 Shermer Rd,Northbrook,IL,60062-6722,US,,,,,145637_req
2016-09-09,2016-09-09 11:00:00,,,Oregon High School Visit,Oregon High Sch,210 S 10th St,Oregon,IL,61061-1711,US,,,,,145637_req
2016-09-09,2016-09-09 11:10:00,,,Rochester High School Visit,Rochester High Sch,1 Rocket Dr,Rochester,IL,62563-9281,US,,,,,145637_req
2016-09-09,2016-09-09 11:45:00,,,Chicago High School for Arts - High School Visit,Chicago High School for Arts,2714 W Augusta Blvd,Chicago,IL,60622-4459,US,,,,,145637_req
2016-09-09,2016-09-09 11:45:00,,,Benet Academy High School Visit,Benet Acad,2200 Maple Ave,Lisle,IL,60532-2393,US,,,,,145637_req
2016-09-09,2016-09-09 12:30:00,,,Byron High School Visit,Byron High Sch,696 N Colfax St,Byron,IL,61010-1439,US,,,,,145637_req
2016-09-09,2016-09-09 12:54:00,,,Niles North High School Visit,Niles North High Sch,9800 Lawler Ave,Skokie,IL,60077-1215,US,,,,,145637_req
2016-09-09,2016-09-09 13:14:00,,,Judah Christian High School - High School Visit,Judah Christian High Sch,908 N Prospect Ave,Champaign,IL,61820-2817,US,,,,,145637_req
2016-09-09,2016-09-09 13:56:00,,,Pecatonica High School Visit,Pecatonica High Sch,1200 Main St,Pecatonica,IL,61063-9440,US,,,,,145637_req
2016-09-09,2016-09-09 14:27:00,,,Maroa-Forsyth High School Visit,Maroa-Forsyth High Sch,PO Box 738,Maroa,IL,61756-0738,US,,,,,145637_req
2016-09-12,2016-09-12 08:27:00,,,Granada Hills Charter High School Visit,Granada Hills Charter HS,10535 Zelzah Ave,Granada Hills,CA,91344-5902,US,,,,,145637_req
2016-09-12,2016-09-12 09:00:00,,,Harlem Senior High School,Harlem Senior High Sch,9229 N Alpine Rd,Machesney Pk,IL,61115-1924,US,,,,,145637_req
2016-09-12,2016-09-12 09:00:00,,,Paris Cooperative High School Visit,Paris High School,14040 E 1200th Rd,Paris,IL,61944-8401,US,,,,,145637_req
2016-09-12,2016-09-12 09:55:00,,,Algonquin Regional High School Visit,Algonquin Regional High Sch,79 Bartlett St,Northborough,MA,01532-1657,US,,,,,145637_req
2016-09-12,2016-09-12 10:00:00,,,Charleston High School Visit,Charleston High School,1615 Lincoln Ave,Charleston,IL,61920-3010,US,,,,,145637_req
2016-09-12,2016-09-12 10:06:00,,,Maranatha High School Visit,Maranatha High Sch,169 S Saint John Ave,Pasadena,CA,91105-1853,US,,,,,145637_req
2016-09-12,2016-09-12 10:10:00,,,John Hersey High School Visit,John Hersey High School,1900 E Thomas St,Arlington Hts,IL,60004-4320,US,,,,,145637_req
2016-09-12,2016-09-12 10:45:00,,,Rockford Christian High School,Rockford Christian High Sch,1401 N Bell School Rd,Rockford,IL,61107-2872,US,,,,,145637_req
2016-09-12,2016-09-12 11:15:00,,,Walnut Hills High School Visit,Walnut Hills High Sch,3250 Victory Pkwy,Cincinnati,OH,45207-1457,US,,,,,145637_req
2016-09-12,2016-09-12 11:27:00,,,Carl Sandburg High School Visit,Carl Sandburg High Sch,13300 S La Grange Rd,Orland Park,IL,60462-1325,US,,,,,145637_req
2016-09-12,2016-09-12 11:30:00,,,La Canada High School Visit,La Canada High Sch,4463 Oak Grove Dr,La Canada Flt,CA,91011-3738,US,,,,,145637_req
2016-09-12,2016-09-12 11:30:00,,,Casey-Westfield High School Visit,Casey Westfield High School,306 E Edgar Ave,Casey,IL,62420-1445,US,,,,,145637_req
2016-09-12,2016-09-12 11:30:00,,,Greenhill School High School Visit,Greenhill Sch,14255 Midway Rd,Dallas,TX,75244,US,,,,,145637_req
2016-09-12,2016-09-12 12:20:00,,,Jesuit Dallas High School Visit,Jesuit College Preparatory Sch,12345 Inwood Rd,Dallas,TX,75244-8024,US,,,,,145637_req
2016-09-12,2016-09-12 12:30:00,,,Kankakee Community College - Transfer Fair,Kankakee Cmty Coll,100 College Dr,Kankakee,IL,60901-6505,US,,,,,145637_req
2016-09-12,2016-09-12 12:30:00,,,St. John's High School Visit,St Johns High Sch,378 Main St,Shrewsbury,MA,01545-2204,US,,,,,145637_req
2016-09-12,2016-09-12 13:00:00,,,Mattoon High School Visit,Mattoon Senior High Sch,2521 Walnut Ave,Mattoon,IL,61938-5060,US,,,,,145637_req
2016-09-12,2016-09-12 13:05:00,,,Prospect High School Visit,Prospect High Sch,801 W Kensington Rd,Mt Prospect,IL,60056-1112,US,,,,,145637_req
2016-09-12,2016-09-12 13:20:00,,,Boylan Catholic High Schol,Boylan Catholic High Sch,4000 Saint Francis Dr,Rockford,IL,61103-1661,US,,,,,145637_req
2016-09-12,2016-09-12 13:30:00,,,Marist High School,Marist High Sch,4200 W 115th St,Chicago,IL,60655-4306,US,,,,,145637_req
2016-09-12,2016-09-12 14:00:00,,,Wyoming High School Visit,Wyoming High Sch,106 Pendery Ave,Cincinnati,OH,45215-2727,US,,,,,145637_req
2016-09-12,2016-09-12 14:30:00,,,Marshall High School Visit,Marshall Comm High Sch,806 N 6th St,Marshall,IL,62441-1226,US,,,,,145637_req
2016-09-12,2016-09-12 14:35:00,,,Lake Forest High School,Lake Forest High Sch,1285 N Mckinley Rd,Lake Forest,IL,60045-1371,US,,,,,145637_req
2016-09-12,2016-09-12 14:55:00,,,Auburn High School Visit,Auburn High Sch,5110 Auburn St,Rockford,IL,61101-2402,US,,,,,145637_req
2016-09-12,2016-09-12 15:00:00,,,Plano ISD Academy High School Visit,Plano Isd Academy High School,1701 Alma Dr,Plano,TX,75075-6917,US,,,,,145637_req
2016-09-12,2016-09-12 16:00:00,,,International Leadership of Texas High School  Visit,International Ldr Tx-Garland,4413 N Shiloh Rd,Garland,TX,75044-6613,US,,,,,145637_req
2016-09-12,2016-09-12 17:00:00,,,Kankakee Area Fair,Kankakee Cmty Coll,100 College Dr,Kankakee,IL,60901-6505,US,,,,,145637_req
2016-09-12,2016-09-12 18:00:00,,,Cheshire High School College Fair,Cheshire High Sch,525 S Main St,Cheshire,CT,06410-3198,US,,,,,145637_req
2016-09-12,2016-09-12 18:00:00,,,Mason High School College Visit Night,William Mason High Sch,770 S Mason-Montgomery Rd,Mason,OH,45040,US,,,,,145637_req
2016-09-12,2016-09-12 18:00:00,,,Plano East Senior High School College Fair,Plano East Senior High Sch,3000 Los Rios Blvd,Plano,TX,75074-3513,US,,,,,145637_req
2016-09-13,2016-09-13 07:45:00,,,Normal Community High School Visit,Normal Comm High Sch,3900 E Raab Rd,Normal,IL,61761-9487,US,,,,,145637_req
2016-09-13,2016-09-13 08:00:00,,,Blessed Trinity Catholic High School Visit,Blessed Trinity Catholic Hs,11320 Woodstock Rd,Roswell,GA,30075-2548,US,,,,,145637_req
2016-09-13,2016-09-13 08:10:00,,,Cheshire Academy Visit,Cheshire Acad,10 Main St,Cheshire,CT,06410-2403,US,,,,,145637_req
2016-09-13,2016-09-13 08:20:00,,,Seven Hills School Visit,Seven Hills Upper Sch,5400 Red Bank Rd,Cincinnati,OH,45227-1122,US,,,,,145637_req
2016-09-13,2016-09-13 09:00:00,,,Rochelle High School Visit,Rochelle Township High Sch,1401 Flagg Rd,Rochelle,IL,61068-6400,US,,,,,145637_req
2016-09-13,2016-09-13 09:00:00,,,Bishop Lynch High School Visit,Bishop Lynch High Sch,9750 Ferguson Rd,Dallas,TX,75228-3818,US,,,,,145637_req
2016-09-13,2016-09-13 09:30:00,,,Milken Community High School Visit,Milken Community School,15800 Zeldins Way,Los Angeles,CA,90049-6861,US,,,,,145637_req
2016-09-13,2016-09-13 09:30:00,,,Vandalia Community High School Visit,Vandalia Comm High Sch,1109 N 8th St,Vandalia,IL,62471-1240,US,,,,,145637_req
2016-09-13,2016-09-13 09:36:00,,,York Community High School Visit,York Comm High Sch,355 W Saint Charles Rd,Elmhurst,IL,60126-3172,US,,,,,145637_req
2016-09-13,2016-09-13 10:00:00,,,Amity Regional High School Visit,Amity Regional High Sch,25 Newton Rd,Woodbridge,CT,06525-1521,US,,,,,145637_req
2016-09-13,2016-09-13 10:00:00,,,University High School Visit,University High Sch,500 Gregory St,Normal,IL,61761-1556,US,,,,,145637_req
2016-09-13,2016-09-13 10:05:00,,,Elk Grove High School Visit,Elk Grove High Sch,500 W Elk Grove Blvd,Elk Grove Vlg,IL,60007-4272,US,,,,,145637_req
2016-09-13,2016-09-13 10:30:00,,,South Central High School Visit,South Central High Sch,800 W Washington St,Farina,IL,62838-1218,US,,,,,145637_req
2016-09-13,2016-09-13 10:30:00,,,George Walton High School Visit,George Walton Comp High Sch,1590 Bill Murdock Rd,Marietta,GA,30062-5953,US,,,,,145637_req
2016-09-13,2016-09-13 10:40:00,,,Indian Hill High School Visit,Indian Hill High Sch,6845 Drake Rd,Cincinnati,OH,45243-2737,US,,,,,145637_req
2016-09-13,2016-09-13 11:00:00,,,EPIC Academy Charter HS - High School Visit,EPIC Academy Charter HS,8255 S Houston Ave,Chicago,IL,60617-2191,US,,,,,145637_req
2016-09-13,2016-09-13 11:00:00,,,Bloomington High School visit,Bloomington  High School,1202 E Locust St,Bloomington,IL,61701-3363,US,,,,,145637_req
2016-09-13,2016-09-13 11:20:00,,,Bartlett High School Visit,Bartlett High Sch,701 W Schick Rd,Bartlett,IL,60103-3046,US,,,,,145637_req
2016-09-13,2016-09-13 11:20:00,,,Harvard-Westlake High School Visit,Harvard Westlake Sch,3700 Coldwater Canyon Ave,Studio City,CA,91604-2301,US,,,,,145637_req
2016-09-13,2016-09-13 11:30:00,,,Plano West High School Lunch Visit,Plano West Sr High Sch,5601 W Parker Rd,Plano,TX,75093-7727,US,,,,,145637_req
2016-09-13,2016-09-13 11:30:00,,,Jones College Prep High School - High School Visit,Jones College Prep,700 S State St,Chicago,IL,60605-2109,US,,,,,145637_req
2016-09-13,2016-09-13 11:37:00,,,Wheeling High School Visit,Wheeling High Sch,900 S Elmhurst Rd,Wheeling,IL,60090-5507,US,,,,,145637_req
2016-09-13,2016-09-13 11:40:00,,,Noble St-Golder College Prep -  High School Visit,Noble St-Golder College Prep,1454 W Superior St,Chicago,IL,60642-5255,US,,,,,145637_req
2016-09-13,2016-09-13 11:45:00,,,Beecher City High School Visit,Beecher City High Sch,438 E State Highway 33,Beecher City,IL,62414-2219,US,,,,,145637_req
2016-09-13,2016-09-13 11:47:00,,,Trumbull High School Visit,Trumbull High Sch,72 Strobel Rd,Trumbull,CT,06611-5510,US,,,,,145637_req
2016-09-13,2016-09-13 12:15:00,,,Milford High School Visit,Milford High Sch,1 Eagles Way,Milford,OH,45150-2086,US,,,,,145637_req
2016-09-13,2016-09-13 12:30:00,,,DeKalb High School Visit,DeKalb High Sch,501 W Dresser Rd,Dekalb,IL,60115-8227,US,,,,,145637_req
2016-09-13,2016-09-13 12:30:00,,,143201,Normal Community West High School,501 N Parkside Rd,Normal,IL,61761-2780,US,,,,,145637_req
2016-09-13,2016-09-13 12:35:00,,,Atlanta International School Visit,Atlanta Intl Sch,2890 N Fulton Dr NE,Atlanta,GA,30305-3155,US,,,,,145637_req
2016-09-13,2016-09-13 12:45:00,,,St. Joseph High School Visit,St Joseph High Sch,2320 Huntington Tpke,Trumbull,CT,06611-5068,US,,,,,145637_req
2016-09-13,2016-09-13 12:58:00,,,Chaminade College Preparatory High School Visit,Chaminade College Preparatory,7500 Chaminade Ave,West Hills,CA,91304-5384,US,,,,,145637_req
2016-09-13,2016-09-13 13:00:00,,,High School of Saint Thomas More - High School Visit,The HS of Saint Thomas More,3901 N Mattis Ave,Champaign,IL,61822-1001,US,,,,,145637_req
2016-09-13,2016-09-13 13:30:00,,,Paideia High School Visit,Paideia Sch,1509 Ponce De Leon Ave NE,Atlanta,GA,30307-1617,US,,,,,145637_req
2016-09-13,2016-09-13 13:45:00,,,Rolling Meadows High School Visit,Rolling Meadows High Sch,2901 Central Rd,Rolling Mdws,IL,60008-2536,US,,,,,145637_req
2016-09-13,2016-09-13 14:00:00,,,Genoa-Kingston High School Visit,Genoa-Kingston High Sch,980 Park Ave,Genoa,IL,60135-1423,US,,,,,145637_req
2016-09-13,2016-09-13 14:00:00,,,UNO Mjr H P Garcia Charter HS - High School Visit,UNO Mjr H P Garcia Charter HS,4248 W 47th St Fl 2,Chicago,IL,60632-4402,US,,,,,145637_req
2016-09-13,2016-09-13 14:40:00,,,The Hockaday School,Hockaday Sch The,11600 Welch Rd,Dallas,TX,75229-2913,US,,,,,145637_req
2016-09-13,2016-09-13 14:50:00,,,Tri Valley High School Visit,Tri Valley High School,503 E Washington St,Downs,IL,61736-9331,US,,,,,145637_req
2016-09-13,2016-09-13 15:00:00,,,Bond CC Unit 2 High School Visit,Bond County Cmty Unit 2 Hs,1000 E State Route 140,Greenville,IL,62246-4202,US,,,,,145637_req
2016-09-13,2016-09-13 15:00:00,,,Calabasas High School Visit,Calabasas High Sch,22855 Mulholland Hwy,Calabasas,CA,91302-2047,US,,,,,145637_req
2016-09-13,2016-09-13 18:30:00,,,Plano West Senior High School College Fair,Plano West Sr High Sch,5601 W Parker Rd,Plano,TX,75093-7727,US,,,,,145637_req
2016-09-13,2016-09-13 18:30:00,,,Miami University Hamilton: Southwest Regional College Fair,Miami University-Hamilton,1601 Peck Blvd,Hamilton,OH,45011-3316,US,,,,,145637_req
2016-09-13,2016-09-13 19:00:00,,,Lake Forest Academy College Fair,Lake Forest Acad,1500 W Kennedy Rd,Lake Forest,IL,60045-1047,US,,,,,145637_req
2016-09-14,2016-09-14 07:45:00,,,Mariemont High School Visit,Mariemont High Sch,1 Warrior Way,Cincinnati,OH,45227-2596,US,,,,,145637_req
2016-09-14,2016-09-14 08:00:00,,,Westlake High School Visit,Westlake High Sch,100 N Lakeview Canyon Rd,Westlake Vlg,CA,91362-3802,US,,,,,145637_req
2016-09-14,2016-09-14 08:30:00,,,Chamblee High School Visit,Chamblee High Sch,3688 Chamblee Dunwoody Rd,Atlanta,GA,30341-2143,US,,,,,145637_req
2016-09-14,2016-09-14 08:45:00,,,The Oakridge School High School Visit,Oakridge Sch,5900 W Pioneer Pkwy,Arlington,TX,76013-2840,US,,,,,145637_req
2016-09-14,2016-09-14 09:30:00,,,Darien High School Visit,Darien High Sch,80 High School Ln,Darien,CT,06820-3331,US,,,,,145637_req
2016-09-14,2016-09-14 10:00:00,,,De La Salle Inst -  College Fair,De La Salle Inst,3455 S Wabash Ave,Chicago,IL,60616,US,,,,,145637_req
2016-09-14,2016-09-14 10:30:00,,,Oaks Christian High School Visit,Oaks Christian High Sch,31749 La Tienda Rd,Westlake Vlg,CA,91362-4010,US,,,,,145637_req
2016-09-14,2016-09-14 11:00:00,,,New Canaan High School Visit,New Canaan High Sch,11 Farm Rd,New Canaan,CT,06840-6626,US,,,,,145637_req
2016-09-14,2016-09-14 11:00:00,,,Lake Land College Transfer Day,Lake Land College,5001 Lake Land Blvd,Mattoon,IL,61938-9366,US,,,,,145637_req
2016-09-14,2016-09-14 11:05:00,,,Fort Worth Country Day School High School Visit,Fort Worth Country Day Sch,4200 Country Day Ln,Ft Worth,TX,76109-4201,US,,,,,145637_req
2016-09-14,2016-09-14 11:10:00,,,St. Xavier High School College Fair,St Xavier High Sch,600 W North Bend Rd,Cincinnati,OH,45224-1424,US,,,,,145637_req
2016-09-14,2016-09-14 11:10:00,,,Buffalo Grove High School Visit,Buffalo Grove High Sch,1100 W Dundee Rd,Buffalo Grove,IL,60089-4054,US,,,,,145637_req
2016-09-14,2016-09-14 11:30:00,,,Johns Creek High School College and Career Fair,Johns Creek High School,5575 State Bridge Rd,Johns Creek,GA,30022-8165,US,,,,,145637_req
2016-09-14,2016-09-14 11:45:00,,,DePaul College Prep - High School Visit,DePaul College Prep,3633 N California Ave,Chicago,IL,60618-4602,US,,,,,145637_req
2016-09-14,2016-09-14 12:25:00,,,Agoura High School Visit,Agoura High Sch,28545 Driver Ave,Agoura Hills,CA,91301-3335,US,,,,,145637_req
2016-09-14,2016-09-14 12:40:00,,,Sycamore High School Visit,Sycamore High Sch,7400 Cornell Rd,Cincinnati,OH,45242-3012,US,,,,,145637_req
2016-09-14,2016-09-14 13:00:00,,,Ursuline Academy High School Visit,Ursuline Acad,4900 Walnut Hill Ln,Dallas,TX,75229-6542,US,,,,,145637_req
